attack_type,severity,algorithm,dqn_action,priority,is_optimal
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Worms,5,Worm_Containment,Rate Limit (80%),HIGH,False
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Worms,5,Worm_Containment,Quarantine File,HIGH,False
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Worms,5,Worm_Containment,Throttle Bandwidth,HIGH,False
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Worms,5,Worm_Containment,Throttle Bandwidth,HIGH,False
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Worms,5,Worm_Containment,Quarantine File,HIGH,False
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Worms,5,Worm_Containment,Quarantine File,HIGH,False
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
Worms,5,Worm_Containment,Rate Limit (80%),HIGH,False
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Worms,5,Worm_Containment,Quarantine File,HIGH,False
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Worms,5,Worm_Containment,Quarantine File,HIGH,False
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Worms,5,Worm_Containment,Throttle Bandwidth,HIGH,False
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Worms,5,Worm_Containment,Quarantine File,HIGH,False
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Worms,5,Worm_Containment,Rate Limit (80%),HIGH,False
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Worms,5,Worm_Containment,Quarantine File,HIGH,False
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Worms,5,Worm_Containment,Throttle Bandwidth,HIGH,False
Worms,5,Worm_Containment,Throttle Bandwidth,HIGH,False
Worms,5,Worm_Containment,Rate Limit (80%),HIGH,False
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Worms,5,Worm_Containment,Quarantine File,HIGH,False
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Worms,5,Worm_Containment,Rate Limit (80%),HIGH,False
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Worms,5,Worm_Containment,Throttle Bandwidth,HIGH,False
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Worms,5,Worm_Containment,Throttle Bandwidth,HIGH,False
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Worms,5,Worm_Containment,Throttle Bandwidth,HIGH,False
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
Reconnaissance,2,Reconnaissance_Counter,Log & Monitor,MEDIUM,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Backdoor,5,Backdoor_Eradication,Quarantine File,CRITICAL,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Worms,5,Worm_Containment,Quarantine File,HIGH,False
Exploits,4,Exploit_Mitigation,Log & Monitor,HIGH,False
Analysis,2,Analysis_Counter,Log & Monitor,LOW,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Shellcode,4,Shellcode_Block,Block IP (24 hours),HIGH,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
Fuzzers,3,Fuzzing_Protection,Rate Limit (80%),MEDIUM,True
Generic,3,Generic_Response,Block IP (1 hour),MEDIUM,True
DoS,5,DDoS_Mitigation,Throttle Bandwidth,CRITICAL,True
Exploits,4,Exploit_Mitigation,Update Signatures,HIGH,False
